iter	RMSE
118	0.282478401
119	0.2824061382
120	0.2813775269
121	0.2812870695
122	0.2812204523
123	0.2803218381
124	0.2792684858
125	0.2786995711
126	0.277993142
127	0.2774066089
128	0.2768464478
129	0.2767706742
130	0.2753699648
131	0.2753128237
132	0.2745917702
133	0.2745524736
134	0.2744664397
135	0.2740576669
136	0.2732447083
137	0.2732005944
138	0.2731704079
139	0.2719859734
140	0.2719207095
141	0.2709560242
142	0.2707015229
143	0.2694597919
144	0.2694186807
145	0.268923524
146	0.268792466
147	0.2683033596
148	0.2682740123
149	0.2682464318
150	0.2681112621
151	0.2674903489
152	0.266336011
153	0.2657436924
154	0.2648861843
155	0.264491259
156	0.2633760678
157	0.2627200036
158	0.261953495
159	0.2618985627
160	0.2608332073
161	0.2608068139
162	0.2602634394
163	0.2593962329
164	0.2589628873
165	0.2579195898
166	0.2571261764
167	0.2562458281
168	0.2555117526
169	0.2550326934
170	0.2543281202
171	0.2534083485
172	0.2525734372
173	0.2512193347
174	0.2509070574
175	0.2501962502
176	0.2495014462
177	0.2489481016
178	0.2483950807
179	0.2479089032
180	0.2478866731
181	0.2477188121
182	0.2467144886
183	0.24580604
184	0.2451428097
185	0.2451284403
186	0.2446619262
187	0.2446286605
188	0.244201824
189	0.2435810215
190	0.2433526934
191	0.2425963027
192	0.242103361
193	0.2420757056
194	0.2413649269
195	0.2413335541
196	0.2409730592
197	0.2405199001
198	0.2399962066
199	0.239371851
200	0.2388033338
201	0.2380011512
202	0.237491208
203	0.2369120976
204	0.2362917189
205	0.2362783332
206	0.2355449387
207	0.2351990595
208	0.234314439
209	0.2339313573
210	0.2334371024
211	0.2329669023
212	0.2322763961
213	0.2316865849
214	0.2306788494
215	0.2303254925
216	0.2298202263
217	0.2290759467
218	0.2284715649
219	0.2284576076
220	0.2284498102
221	0.2280742326
222	0.2268832859
223	0.2263953705
224	0.2263075918
225	0.225915238
226	0.2259075605
227	0.225736221
228	0.2257215029
229	0.2250902062
230	0.2247915623
231	0.2247795237
232	0.2239789194
233	0.2236588673
234	0.22359856
235	0.2229676256
236	0.2229093967
237	0.2222467795
238	0.2213863662
239	0.2209431024
240	0.2208954458
241	0.2204552685
242	0.2198487226
243	0.2193059493
244	0.2185261937
245	0.2180970859
246	0.2173836703
247	0.2168967813
248	0.2168880863
249	0.2163875476
250	0.2163803112
251	0.215760746
252	0.2155749414
253	0.2148241754
254	0.214710074
255	0.2141763086
256	0.214128209
257	0.2136770544
258	0.2132266244
259	0.2129177629
260	0.2124502881
261	0.2122677626
262	0.2116792054
263	0.2115092362
264	0.2115033747
265	0.2112838232
266	0.211211811
267	0.2106131805
268	0.2101000103
269	0.209314297
270	0.2088900231
271	0.2083680705
272	0.2077793663
273	0.2075609528
274	0.2071747474
275	0.2067387985
276	0.2062217651
277	0.2057936734
278	0.2051897861
279	0.2050943075
280	0.2047344711
281	0.2046485807
282	0.2045671597
283	0.2040336794
284	0.2034387741
285	0.2034109921
286	0.2033810552
287	0.2029792175
288	0.2029722942
289	0.2026434249
290	0.202131617
291	0.2021175893
292	0.2021109831
293	0.2015526349
294	0.2010956038
295	0.2007201089
296	0.2003544494
297	0.2003213259
298	0.1998078386
299	0.1997687678
300	0.1992185534
301	0.1987102498
302	0.1985933801
303	0.1980071351
304	0.197698523
305	0.1973376869
306	0.1972641888
307	0.1966349698
308	0.1963560369
309	0.1957370491
310	0.1951913717
311	0.1947876367
312	0.1943972233
313	0.1939886254
314	0.1939461132
315	0.1933490974
316	0.1929434023
317	0.1925696562
318	0.1922278536
319	0.1917207238
320	0.1912331854
321	0.1907282642
322	0.1906969935
323	0.1906915087
324	0.1904412673
325	0.1901974214
326	0.1901847229
327	0.1898051964
328	0.189469679
329	0.1889597665
330	0.1883967736
331	0.1878937398
332	0.1875183027
333	0.1872145986
334	0.1867909585
335	0.1862842128
336	0.1860171947
337	0.1856340558
338	0.1849003495
339	0.1845136593
340	0.1841071399
341	0.1837205995
342	0.1832249298
343	0.1826617359
344	0.1822673888
345	0.18194236
346	0.18193671
347	0.1812815548
348	0.1811164136
349	0.1808173432
350	0.1805615599
351	0.1805075761
352	0.1804837651
353	0.1803544482
354	0.1797333361
355	0.179473963
356	0.1794551409
357	0.1791228749
358	0.1788888287
359	0.1788832179
360	0.1788789087
361	0.1787498622
362	0.178674365
363	0.1783723543
364	0.1780466056
365	0.1780304891
366	0.177617324
367	0.1771640187
368	0.176700098
369	0.1763013124
370	0.1758557624
371	0.1756337578
372	0.1754777067
373	0.175072714
374	0.1748494666
375	0.1745107313
376	0.1740429639
377	0.1733811069
378	0.1727435445
379	0.1724307395
380	0.1720023573
381	0.17176004
382	0.1714867085
383	0.1710946161
384	0.1708256409
385	0.1705145768
386	0.1702604091
387	0.1698340664
388	0.1695178662
389	0.1693348459
390	0.1692201102
391	0.16915804
392	0.1691526009
393	0.1688608371
394	0.168518782
395	0.1679660453
396	0.1678884841
397	0.1676152352
398	0.1672169064
399	0.1669245361
400	0.1666426748
401	0.166492113
402	0.166205007
403	0.1661202109
404	0.1657349434
405	0.1654155302
406	0.1649163579
407	0.1647507439
408	0.1643548292
409	0.1641134825
410	0.1640812347
411	0.1637604325
412	0.1637565544
413	0.1634920036
414	0.1632482174
415	0.1627559283
416	0.1624192569
417	0.162404809
418	0.1620631101
419	0.1618317915
420	0.1612491017
421	0.1608396262
422	0.160532997
423	0.1604434048
424	0.159976491
425	0.1595928002
426	0.1595796177
427	0.1595739216
428	0.1594795821
429	0.1592659643
430	0.1591015793
431	0.1588695881
432	0.1584156343
433	0.158248462
434	0.1580927474
435	0.1580170933
436	0.1580022017
437	0.1576386123
438	0.1574630735
439	0.1572675047
440	0.1570365761
441	0.1568610729
442	0.1564036465
443	0.1561968115
444	0.1561932559
445	0.1558274542
446	0.1557614897
447	0.1557583714
448	0.1552624797
449	0.1551277354
450	0.154961261
451	0.1547976455
452	0.1544326916
453	0.1540688285
454	0.1539071496
455	0.1537853447
456	0.1535076411
457	0.1532129983
458	0.1529417423
459	0.1526825373
460	0.1526495346
461	0.1524872387
462	0.1522131922
463	0.1522043623
464	0.1521198025
465	0.1519500523
466	0.151622015
467	0.1512917026
468	0.151029405
469	0.1510034203
470	0.1509001401
471	0.1507489151
472	0.1504860399
473	0.1503384275
474	0.1500381938
475	0.149713048
476	0.1496028527
477	0.1493990173
478	0.1493955386
479	0.1489583431
480	0.1488353137
481	0.1488011385
482	0.1484547109
483	0.1483464415
484	0.1480621933
485	0.1478907077
486	0.1478234806
487	0.1477642416
488	0.147442819
489	0.1472121924
490	0.1468363787
491	0.1466343255
492	0.1463564547
493	0.1459996458
494	0.145684498
495	0.1455722807
496	0.1455182531
497	0.1451905907
498	0.1451789074
499	0.144785227
500	0.1444635645
501	0.1442766715
502	0.1440549565
503	0.1439721456
504	0.1436103205
505	0.1435846477
506	0.1435114214
507	0.1434019384
508	0.1431454064
509	0.1431225362
510	0.1429960748
511	0.1426886288
512	0.1426277491
513	0.142539467
514	0.1423255116
515	0.1421552696
516	0.1421518152
517	0.1420399771
518	0.1418962142
519	0.1416190593
520	0.1412766516
521	0.1410195351
522	0.1410170761
523	0.1408448681
524	0.1408316253
525	0.1404231237
526	0.1404207131
527	0.1401109559
528	0.1396552947
529	0.1394610092
530	0.1392350894
531	0.1390793354
532	0.1387940732
533	0.138686445
534	0.1385514944
535	0.1383053901
536	0.1380035027
537	0.1377915876
538	0.1376319357
539	0.1373985213
540	0.1371888896
541	0.1368302897
542	0.1366185287
543	0.1364671786
544	0.1360453138
545	0.135803689
546	0.1355601191
547	0.1353316337
548	0.1350107517
549	0.1346682196
550	0.1346657015
551	0.1344073678
552	0.134061703
553	0.1337259514
554	0.1335163265
555	0.1333668219
556	0.1333649472
557	0.1331859418
558	0.1330419719
559	0.1327917737
560	0.1324938677
561	0.1324914259
562	0.1324580965
563	0.1324558231
564	0.1324523541
565	0.1323291723
566	0.1322735848
567	0.1319788137
568	0.1317421416
569	0.1317371785
570	0.131359309
571	0.1312799703
572	0.1312312548
573	0.1309350384
574	0.1306772166
575	0.1305212521
576	0.130501963
577	0.1301858453
578	0.1298669198
579	0.1296563195
580	0.1293366857
581	0.129060481
582	0.1289196069
583	0.1289088736
584	0.1286968481
585	0.1284341099
586	0.1283102361
587	0.1280974668
588	0.1278539445
589	0.127660255
590	0.1275842822
591	0.1275593819
592	0.127348629
593	0.127316471
594	0.1272405903
595	0.1272393967
596	0.1272309179
597	0.1270723449
598	0.1269787482
599	0.1266310009
600	0.1265789731
601	0.1264177024
602	0.1261042939
603	0.1261022319
604	0.125829479
605	0.125435325
606	0.1251579932
607	0.1251456476
608	0.1250278324
609	0.1250174662
610	0.1248397279
611	0.1248222056
612	0.1246416885
613	0.1246288631
614	0.1244565375
615	0.1242816732
616	0.1240056325
617	0.1239335136
618	0.1238340181
619	0.1237297183
620	0.1236901048
621	0.1235516801
622	0.1234909226
623	0.1234552922
624	0.1231240763
625	0.1231008647
626	0.1230991251
627	0.1229749293
628	0.1229374801
629	0.122843413
630	0.1226632946
631	0.1223618704
632	0.122244661
633	0.1220605397
634	0.1219576012
635	0.1218619507
636	0.1216420712
637	0.1214335688
638	0.121286737
639	0.1210119026
640	0.1208123215
641	0.1205929029
642	0.120567991
643	0.1205498082
644	0.1205392785
645	0.1203352825
646	0.1201356678
647	0.1199794574
648	0.1197380168
649	0.1197317028
650	0.1194464032
651	0.1192336666
652	0.1192034698
653	0.1189356685
654	0.1186236314
655	0.1185448595
656	0.1182182466
657	0.1179358806
658	0.117902851
659	0.1176851389
660	0.1176600406
661	0.1172847198
662	0.1171539718
663	0.1171115339
664	0.1168563786
665	0.116617723
666	0.1165460222
667	0.1164315116
668	0.1161258548
669	0.1159349403
670	0.1158805671
671	0.1156875667
672	0.1155923205
673	0.1154953411
674	0.1154030248
675	0.1151663042
676	0.1150520543
677	0.1150061631
678	0.1149017393
679	0.1146610673
680	0.1144992979
681	0.1144220167
682	0.1142406191
683	0.1140840406
684	0.1139278285
685	0.1136740748
686	0.1133905952
687	0.1132259657
688	0.1131019276
689	0.1129258972
690	0.1128089578
691	0.1127091137
692	0.112475818
693	0.1122046641
694	0.1120759987
695	0.1119738992
696	0.1118706088
697	0.1116850813
698	0.1115553849
699	0.1113975165
700	0.1111413293
701	0.1108455589
702	0.1107314354
703	0.1105030368
704	0.1102694559
705	0.1101116482
706	0.1099008343
707	0.1098794034
708	0.1098780508
709	0.1098532018
710	0.1098377204
711	0.1096468839
712	0.1095665666
713	0.1094749005
714	0.1094713799
715	0.109309949
716	0.1091809753
717	0.1091284082
718	0.108958442
719	0.1086564806
720	0.1085815222
721	0.1083991409
722	0.1082937217
723	0.1081896236
724	0.1079091101
725	0.1076664712
726	0.1076572671
727	0.1074612557
728	0.1074495981
729	0.1073019819
730	0.1072952849
731	0.1071937722
732	0.1069977207
733	0.1067062411
734	0.106691109
735	0.1063698528
736	0.1062016466
737	0.1060304058
738	0.1058904838
739	0.1058853375
740	0.1057955257
741	0.1057943785
742	0.1055547349
743	0.1055525602
744	0.1053542634
745	0.1050533781
746	0.1049340139
747	0.1048488847
748	0.1045474711
749	0.1044055278
750	0.1042791952
751	0.1040237732
752	0.1038944291
753	0.1038440349
754	0.1035955086
755	0.103516556
756	0.1032432521
757	0.1030011218
758	0.1028231294
759	0.102641604
760	0.1025479888
761	0.1024501261
762	0.102400583
763	0.1021675687
764	0.1019822367
765	0.1018336875
766	0.1018192436
767	0.1016448706
768	0.1015570167
769	0.1015526285
770	0.1013440455
771	0.101260088
772	0.1011372928
773	0.1010018666
774	0.100945699
775	0.1008263191
776	0.1006873372
777	0.1003928413
778	0.1002723068
779	0.1000315602
780	0.100030189
781	0.09981658997
782	0.0996175445
783	0.09942900536
784	0.09925368412
785	0.09925209381
786	0.09910305531
787	0.09894695187
788	0.09872718464
789	0.09859260311
790	0.09842834113
791	0.09842694717
792	0.0982697902
793	0.09804153583
794	0.0980401708
795	0.09789354269
796	0.09768330873
797	0.09748681366
798	0.09734861815
